row,playbook_ref,playbook_name,boss_level,boss_level_name,area,area_code,pillar,assessment_page,question_number_on_page,question,score_red,score_amber,score_green
1,1.0,Focus,1,Overwhelm,Owner Performance,+,Foundation,1,1,"Do you have a clear daily system for deciding what to work on, so you're not just reacting to whatever comes at you?",I firefight and react to whatever is loudest,I have good days but often get pulled off track,I have a clear daily method for prioritising and I stick to it
2,2.0,Time & Energy,2,Overworked,Owner Performance,+,Foundation,1,2,"Are you protecting your working hours, energy, and recovery so you can perform sustainably?",I work all hours and I'm burning out,I've tried but I regularly break my own rules,I have sustainable working patterns and protect my energy
3,3.0,Mindset & Habits,3,Organised,Owner Performance,+,Foundation,1,3,Do your daily and weekly habits actually keep you performing at your best?,Every day is different and unstructured,I have some habits but they're inconsistent,I have a personal operating system that I follow consistently
4,4.0,Leadership,4,Overseer,Owner Performance,+,Foundation,1,4,"Is your leadership delivering results, with clear communication, sound decisions, and a team that follows your direction?",My team doesn't get clear direction and decisions stall,"I'm leading but inconsistently: some areas work, others don't",My leadership is effective and the business responds to how I lead
5,5.0,Life Design,5,Owner,Owner Performance,+,Foundation,1,5,"Is your business giving you the lifestyle you designed: time, income, and freedom on your terms?",My business runs my life,I've made some progress but I'm not there yet,I choose my involvement and my life is designed around what I want
6,1.1,Purpose,1,Overwhelm,Aligned Vision,A,Clarify Vision,2,1,"Do you know exactly what you need from this business, financially and personally, and does that drive your decisions?",I've never clearly defined this and I drift,I have a rough idea but it doesn't consistently guide what I do,"I know my number, my lifestyle needs, and why this business exists for me"
7,2.1,Goals,2,Overworked,Aligned Vision,A,Clarify Vision,2,2,"Are you actively hitting clear, measurable business goals, not just setting them?",I don't have written goals or I ignore them,I have goals but I'm not tracking progress or adjusting course,I have clear goals with numbers and deadlines and I review progress regularly
8,3.1,Vision,3,Organised,Aligned Vision,A,Clarify Vision,2,3,Does your team know where the business is heading in the next three years and is that vision shaping what they do?,There is no shared direction and work feels disconnected,We have a rough picture but it doesn't guide day-to-day decisions,We have a vivid vision and my team can articulate where we're heading
9,4.1,Strategic Intent,4,Overseer,Aligned Vision,A,Clarify Vision,2,4,Does your strategic target actually filter what you say yes and no to?,I take on too much because direction is still vague,I have a general direction but it's not specific enough to say no,I have a strategic intent specific enough to guide every major decision
10,5.1,Mission,5,Owner,Aligned Vision,A,Clarify Vision,2,5,Does your company have a mission beyond profit that your team and customers actually feel in how you operate?,The business is just about making money,We have a sense of purpose but it's not embedded in how we work,We have a clear mission that the team and customers connect with
11,1.2,Ideal Customer,1,Overwhelm,Defined Strategy,D,Clarify Vision,3,1,"Do you have a clearly defined ideal customer, and does your marketing and sales focus on winning them?",I'll work with anyone who'll pay,I have a general idea but I'm not focused or consistent in who I target,I have a clear ideal customer based on real results and I know their pain in their own words
12,2.2,Core Offer,2,Overworked,Defined Strategy,D,Clarify Vision,3,2,"Do you have one clear core offer for that customer that wins sales, not just a list of things you could do?",I offer too many things and buyers are confused about what they're getting,I have a main offer but it's not sharp or consistently winning work,I have a clear offer for a clear market and I know why people buy it
13,3.2,Business Model,3,Organised,Defined Strategy,D,Clarify Vision,3,3,"Is your business model producing healthy profit, and do you know how you make money on each sale?",I'm busy but I don't know if the model actually works,I know roughly how we make money but margins are unclear or inconsistent,I have a clear business model with defined revenue streams and healthy unit economics
14,4.2,Growth Strategy,4,Overseer,Defined Strategy,D,Clarify Vision,3,4,"Is your growth focused on the right opportunities, and do you know where to invest and where to stop?",I chase whatever comes and spread resources too thin,I have growth ideas but no clear priorities or allocation,I have a clear growth strategy with defined priorities and resource allocation
15,5.2,Exit Strategy,5,Owner,Defined Strategy,D,Clarify Vision,3,5,"Are you actively building toward your exit, whether that's selling, succession, or stepping back?",I've never thought about it and the business depends on me,I've thought about it but I'm not building toward a concrete outcome,"I know my exit path, I'm building towards it, and I know what drives my valuation"
16,1.3,Execution,1,Overwhelm,Disciplined Planning,D,Clarify Vision,4,1,"Do you consistently finish what you commit to, and does your planning actually turn into completed work?",I start lots of things and finish few,I plan sometimes but execution is inconsistent,I have a reliable weekly planning system and I finish what I commit to
17,2.3,Business Mapping,2,Overworked,Disciplined Planning,D,Clarify Vision,4,2,"Can you see how work flows through your business, from first contact to delivery to cash, and spot where it breaks?",Work gets stuck and I can't see where or why,I understand parts of the flow but bottlenecks still surprise me,I can trace the full path and I know where to fix delays and handoffs
18,3.3,Projects & Planning,3,Organised,Disciplined Planning,D,Clarify Vision,4,3,"Are your annual, quarterly, and 90-day plans driving real projects with milestones you hit?",I don't plan beyond the next few weeks,I have some planning but projects slip or lack clear milestones,"I have annual, quarterly, and 90-day plans with clear projects and milestones"
19,4.3,Meetings & Reviews,4,Overseer,Disciplined Planning,D,Clarify Vision,4,4,"Do your regular meetings and reviews actually move the business forward, with clear outcomes and accountability?",Meetings are ad hoc or a waste of time,We meet but decisions and follow-through are inconsistent,I have a full meeting cadence that runs the business with clear agendas and accountability
20,5.3,Succession Planning,5,Owner,Disciplined Planning,D,Clarify Vision,4,5,"Could your business continue and thrive without you, and do you have people and structures in place?",The business depends entirely on me,I've started building depth but there's no real continuity plan,"I have key people, governance structures, and the business can run independently"
21,1.4,Cash Flow,1,Overwhelm,Profit & Cash Flow,P,Control Velocity,5,1,"Do you know whether you can pay your bills over the coming months, and do you review cash often enough to catch problems early?",I check my bank balance and hope for the best,I have a rough idea but I don't review cash regularly enough,"I know I can pay my bills, I review cash weekly, and I act before crises hit"
22,2.4,Cost Control,2,Overworked,Profit & Cash Flow,P,Control Velocity,5,2,"Are your costs under control, and do you know where money goes and cut waste deliberately?",I don't really know where all my money goes,I've looked at it but not systematically or regularly,"I've audited expenses, eliminated waste, and I review costs regularly"
23,3.4,Profit & Pricing,3,Organised,Profit & Cash Flow,P,Control Velocity,5,3,"Are you making healthy profit on what you sell, and are your prices and margins working?",I guessed my prices or just matched competitors,I've thought about pricing but margins aren't consistently healthy,"My pricing is strategic, I know my margins, and profits are healthy"
24,4.4,Profit Allocation,4,Overseer,Profit & Cash Flow,P,Control Velocity,5,4,"Do you deliberately allocate profit for owner pay, tax, reserves, and reinvestment, rather than taking whatever is left?","Whatever's left at the end is ""profit""",I take owner drawings but don't have a structured allocation system,I use a profit allocation method and my money has clear jobs
25,5.4,Wealth Building,5,Owner,Profit & Cash Flow,P,Control Velocity,5,5,"Are you building personal wealth beyond the business, with tax efficiency and assets outside the company?",All my wealth is tied up in the business,I've started but I don't have a clear personal wealth strategy,"I have a wealth strategy, my tax is optimised, and I'm building assets outside the business"
26,1.5,Lead Generation,1,Overwhelm,Revenue & Marketing,R,Control Velocity,6,1,"Do you have a reliable, repeatable way to bring in new leads, customers, and/or clients, not just hope they find you?",I rely on word of mouth or hope,I do some marketing but it's inconsistent and I don't know what works,I have at least one proven channel that consistently brings in qualified interest
27,2.5,Sales & Conversion,2,Overworked,Revenue & Marketing,R,Control Velocity,6,2,"Do you have a repeatable system for acquiring and converting new leads, customers, and/or clients?",Sales is ad hoc and depends entirely on me,I have a process but conversion is inconsistent or not transferable,"I have a structured, repeatable sales process that converts reliably"
28,3.5,Positioning,3,Organised,Revenue & Marketing,R,Control Velocity,6,3,"Do customers choose you for a clear reason, not just price or convenience?",We look like everyone else and compete on price,We have some differentiation but it's not consistent in the market,Customers know exactly why we're different and choose us deliberately
29,4.5,Lead Nurture,4,Overseer,Revenue & Marketing,R,Control Velocity,6,4,"Do you stay in touch with prospects who aren't ready to buy, so interest turns into sales over time?","If they don't buy straight away, I lose them",I do some follow-up but it's manual and inconsistent,I have nurture systems that keep prospects warm until they're ready to buy
30,5.5,Branding,5,Owner,Revenue & Marketing,R,Control Velocity,6,5,"Is your business visible and credible in your market, and do the right people know who you are and what you stand for?",Hardly anyone knows who we are,We have some presence but we're not consistently recognised,"We're known in our market, our message is clear, and prospects recognise us"
31,1.6,Fulfilment,1,Overwhelm,Operations & Delivery,O,Control Velocity,7,1,"Do you deliver what you promise consistently, with reliable outcomes for customers?",Every job feels like reinventing the wheel,Delivery works sometimes but quality and timing vary,We deliver consistently with a reliable process and predictable results
32,2.6,Customer Experience,2,Overworked,Operations & Delivery,O,Control Velocity,7,2,"Does your customer experience produce the outcomes you intend, from first contact through to completion?",Customers get an inconsistent or accidental experience,Some touchpoints are good but the overall experience isn't reliable,Every touchpoint is intentional and customers get a consistent great experience
33,3.6,Customer Retention,3,Organised,Operations & Delivery,O,Control Velocity,7,3,"Are you keeping customers coming back, and do you know your retention rate and actively reduce churn?",I don't track retention or have systems for it,I do some things but retention isn't systematically managed,"I track retention, I know why people leave, and I have active systems to keep customers"
34,4.6,Lifetime Value,4,Overseer,Operations & Delivery,O,Control Velocity,7,4,"Are you growing what each customer is worth through upsells, cross-sells, and repeat business?","I focus on new customers, not growing existing ones",I do some upselling but it's not structured,I know my customer lifetime value and I have deliberate strategies to increase it
35,5.6,Product Development,5,Owner,Operations & Delivery,O,Control Velocity,7,5,"Are you evolving what you offer in response to customer needs, with new products or services that land?",We've been selling the same thing for years with no evolution,We develop new things but it's reactive not strategic,We have a structured approach and a roadmap for product/service evolution
36,1.7,Bookkeeping,1,Overwhelm,Financials & Metrics,F,Create Value,8,1,"Are your books clean and up to date, reviewed weekly so you can trust the numbers?",My books are a mess or months behind,They're mostly up to date but I don't review them weekly,"My books are clean, current, and I review them weekly to stay on track"
37,2.7,Finance Fundamentals,2,Overworked,Financials & Metrics,F,Create Value,8,2,"Are you using your business numbers to make decisions: P&L, balance sheet, and monthly management accounts?",I leave finance to my accountant and don't use numbers to decide,I look at some numbers but they don't consistently drive decisions,"I review P&L, balance sheet, and management accounts monthly and act on what they show"
